City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
322,Rincon,US,32.296,-81.2354,72.86,97,75,5.75,broken clouds
323,Kirakira,SB,-10.4544,161.9205,79.57,80,80,7.45,broken clouds
324,Khorixas,NA,-20.3667,14.9667,86.29,9,60,17.31,broken clouds
325,Praya,CV,14.9215,-23.5087,88.34,55,0,19.57,clear sky
326,Shahr-E Kord,IR,32.3256,50.8644,62.37,23,0,16.11,clear sky
327,Okha,RU,53.5739,142.9478,31.95,84,100,14.63,overcast clouds
328,Kodinsk,RU,58.6881,99.1844,37.69,76,100,4.45,overcast clouds
329,Casablanca,MA,33.5928,-7.6192,73.62,56,75,11.01,broken clouds
330,Grindavik,IS,63.8424,-22.4338,43.27,93,75,19.57,heavy intensity rain
331,Hami,CN,42.8,93.45,61.68,17,0,5.17,clear sky
332,Harper,LR,4.375,-7.7169,80.83,79,51,9.13,light rain
333,Surt,LY,31.2089,16.5887,83.75,37,100,14.07,overcast clouds
334,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,78.76,76,100,7.74,moderate rain
335,Bulgan,MN,48.8125,103.5347,34.38,49,0,1.97,clear sky
336,Aden,YE,12.7794,45.0367,85.55,65,81,11.9,broken clouds
337,Ambulu,ID,-8.345,113.6058,78.42,86,97,3.56,overcast clouds
338,Edmond,US,35.6528,-97.4781,58.89,70,0,1.01,clear sky
339,Sri Aman,MY,1.2376,111.4621,75.25,94,100,0.0,overcast clouds
340,Tuatapere,NZ,-46.1333,167.6833,46.6,83,100,3.74,overcast clouds
341,Mayo,US,38.8876,-76.5119,64.38,67,1,3.0,clear sky
342,Port Augusta,AU,-32.5,137.7667,64.71,84,7,17.6,clear sky
343,Tefe,BR,-3.3542,-64.7114,78.91,94,75,9.22,broken clouds
344,Sorong,ID,-0.8833,131.25,79.16,85,89,5.08,overcast clouds
345,Ilebo,CD,-4.3167,20.5833,86.0,61,91,0.98,light rain
346,Birobidzhan,RU,48.8,132.95,35.62,63,14,5.32,few clouds
347,Baghdad,IQ,33.3406,44.4009,85.91,17,0,12.66,clear sky
